,gov,pce,inv
1962-07-01,-1.0426931882678718,-0.9425311539998047,-0.8221883645238721
1962-10-01,-1.0408179298703746,-0.9395187254634108,-0.8231689315484205
1963-01-01,-1.0224033911171344,-0.9366403053545116,-0.8229905751025917
1963-04-01,-1.0231393887951659,-0.935079414705756,-0.8244629680066335
1963-07-01,-1.0313455487703345,-0.9302250362409579,-0.8275486310769802
1963-10-01,-1.007506080412171,-0.9265687250378476,-0.824864906247536
1964-01-01,-0.997839987695051,-0.9218169496122415,-0.827772600259757
1964-04-01,-0.9968354672690456,-0.9196644934446505,-0.8191191718915003
1964-07-01,-0.9831600404693703,-0.9164138542548939,-0.8176989692739518
1964-10-01,-0.9845050305847027,-0.9131127141987219,-0.8077258051048668
1965-01-01,-0.9810400481553345,-0.9098832686231919,-0.8071112578751309
1965-04-01,-0.9756192175343164,-0.9047861702091868,-0.8051822787587994
1965-07-01,-0.9647260157606321,-0.9011009221175383,-0.803082172981683
1965-10-01,-0.9431533187709555,-0.8980302029030041,-0.7920419426200707
1966-01-01,-0.9415912959738142,-0.890304919700359,-0.7963305411053998
1966-04-01,-0.9413198887255749,-0.8822245477688133,-0.7800112054357995
1966-07-01,-0.924234654405895,-0.8746199483835944,-0.7799257901036953
1966-10-01,-0.924368049990699,-0.8668979022896837,-0.7682501103097268
1967-01-01,-0.9279764735518903,-0.8640464935667262,-0.7642902096090354
1967-04-01,-0.9171900316658865,-0.8592928614268476,-0.7594250404269416
1967-07-01,-0.9081580949995476,-0.850024741088137,-0.7530440366048552
1967-10-01,-0.8903353258441515,-0.8414664643978802,-0.7411831681435026
1968-01-01,-0.882116981032687,-0.8308987076063672,-0.7305988965549632
1968-04-01,-0.87073624338954,-0.8207196487996149,-0.72113165749863
1968-07-01,-0.8542463246148779,-0.8104228350609701,-0.7151497459299434
1968-10-01,-0.8399837422146113,-0.7994135495526007,-0.693882881016691
1969-01-01,-0.8379015563928274,-0.7897642092194248,-0.6824670984995853
1969-04-01,-0.8239892394148391,-0.7771125984173288,-0.6717549122175424
1969-07-01,-0.7983773570276065,-0.7649347595649423,-0.6626743461973761
1969-10-01,-0.7859294272510025,-0.7534755650245057,-0.6497310134848422
1970-01-01,-0.7570779698616548,-0.7419404571662911,-0.6417024410741994
1970-04-01,-0.7439604545670795,-0.7309437476240306,-0.6204328726986965
1970-07-01,-0.7270076202768605,-0.7212246126514681,-0.6225468842747421
1970-10-01,-0.7143843502023479,-0.7083612505191712,-0.61090260652003
1971-01-01,-0.6831916999385608,-0.6989073725988693,-0.5936688144793751
1971-04-01,-0.6647063093508354,-0.6875917653186576,-0.5796938963703964
1971-07-01,-0.6503021375372167,-0.6778005960220401,-0.5681206182899423
1971-10-01,-0.6300710316169065,-0.6716455467768738,-0.5590054120010075
1972-01-01,-0.5896029412797943,-0.6611542726763386,-0.5467541102204869
1972-04-01,-0.5794886548152327,-0.6553834794985942,-0.5400457299582655
1972-07-01,-0.5713015296131583,-0.646648979263015,-0.5302497605480445
1972-10-01,-0.5497913362847311,-0.6385464902325739,-0.5162089940296224
1973-01-01,-0.5338215708353125,-0.6265145368526372,-0.5061878561615933
1973-04-01,-0.5165932668751352,-0.6074966029528497,-0.48867348424584556
1973-07-01,-0.49612972401294675,-0.5894516035239028,-0.46779695427387624
1973-10-01,-0.47496946434138465,-0.5692135720632105,-0.45450813477389884
1974-01-01,-0.4647655101915995,-0.5398774528165382,-0.43505149559176104
1974-04-01,-0.44685533140239464,-0.5119493895008977,-0.4067201440231867
1974-07-01,-0.4180616942552162,-0.4853370618087993,-0.36934906752603425
1974-10-01,-0.3853937835855912,-0.4602291676263168,-0.33103190700894114
1975-01-01,-0.36738570059414766,-0.44158446200176504,-0.2974184503320787
1975-04-01,-0.35300569828275474,-0.42939519044018404,-0.27412644279777076
1975-07-01,-0.3396098010487969,-0.4108312697031389,-0.2622989535311362
1975-10-01,-0.3168990906436755,-0.39420267719498403,-0.24762085707264525
1976-01-01,-0.3023982413786106,-0.3832566292804178,-0.23801175813954556
1976-04-01,-0.2940532694464295,-0.3749201170205563,-0.22079818807915963
1976-07-01,-0.2826475771998642,-0.3598556502333925,-0.20685704752242629
1976-10-01,-0.256278743491519,-0.344185169033699,-0.19135174972985736
1977-01-01,-0.24222030963833419,-0.32627587805962355,-0.17061151680886377
1977-04-01,-0.23092075438440096,-0.30931548227764205,-0.15213741919542834
1977-07-01,-0.2259984043384784,-0.29437870951835343,-0.13015553920193312
1977-10-01,-0.19744606004480802,-0.28027741827774744,-0.10886476112780574
1978-01-01,-0.18606463138233398,-0.2640095784112413,-0.09000810985365426
1978-04-01,-0.1666177325846645,-0.24368059550281718,-0.06958863547462579
1978-07-01,-0.15002949080715533,-0.22627161263776863,-0.050256931163250584
1978-10-01,-0.13292567604211403,-0.20756185067911304,-0.0304841758575205
1979-01-01,-0.11465403611047975,-0.18889985766726403,-0.009868184020018322
1979-04-01,-0.0996591314182056,-0.16193271835220768,0.015279568379414243
1979-07-01,-0.07659385848720968,-0.1374142968273988,0.03905755192357807
1979-10-01,-0.05483113655508598,-0.11351010342891144,0.05907723300343637
1980-01-01,-0.03525768107791594,-0.08393878279765277,0.08204619891189902
1980-04-01,0.0026704798965710985,-0.05975625743675783,0.10479917304062125
1980-07-01,0.012755393481409971,-0.03662730331276087,0.12620071718612502
1980-10-01,0.042413893749637666,-0.012185043634545423,0.14737347914700782
1981-01-01,0.062206075677703865,0.01341533635171377,0.1734217427273772
1981-04-01,0.08519333298584986,0.030046042433328424,0.1952718166709171
1981-07-01,0.10687948155616844,0.046404686544910145,0.21178738956092547
1981-10-01,0.12586754291354607,0.06160237113621747,0.23161300205681146
1982-01-01,0.14170340655412517,0.07423325091060828,0.24520249401089478
1982-04-01,0.16133217117525556,0.08380551711922646,0.2571272498230406
1982-07-01,0.169675832902628,0.0994697667938591,0.263224829691159
1982-10-01,0.18142225700222303,0.11045064975494645,0.2659146393447629
1983-01-01,0.18329687849182497,0.11868402486682239,0.26308939664378395
1983-04-01,0.1909790936215625,0.12777735850545335,0.26033160564830515
1983-07-01,0.202003700537146,0.14083880364196677,0.26063337401319986
1983-10-01,0.20851332626608032,0.14741177644059666,0.26278836863085475
1984-01-01,0.22138560484521141,0.1581740613427054,0.2649387292312002
1984-04-01,0.23130506484742197,0.16780762626978474,0.2698087835860954
1984-07-01,0.2460642496076293,0.17550163796676266,0.27380693902169595
1984-10-01,0.25830153533220646,0.18164718336566077,0.27700289848512627
1985-01-01,0.25430746990685904,0.19338216728625968,0.2805288803008392
1985-04-01,0.25666487375573865,0.2014434036346131,0.28242007793316004
1985-07-01,0.26199462570509136,0.2092613968261703,0.28705902238955305
1985-10-01,0.26853112739962803,0.2162101998424606,0.2934300099093101
1986-01-01,0.26599873678765906,0.22326778061862163,0.29858488568138375
1986-04-01,0.26350058878835725,0.2222093720525491,0.30613798839505924
1986-07-01,0.2649230641349001,0.2274902480397154,0.31446395306079333
1986-10-01,0.26603930556187905,0.23351928337796624,0.32087633235809543
1987-01-01,0.2643543167855724,0.24293711163789178,0.32464751425715344
1987-04-01,0.26907728258195585,0.25255247843189155,0.3269231818611362
1987-07-01,0.2762908382124869,0.2619820448272585,0.32984145129906883
1987-10-01,0.27837667932171994,0.2705764194704732,0.3392988133604491
1988-01-01,0.29192845131585665,0.27844893716811026,0.34800423942702574
1988-04-01,0.3017040078559412,0.28943704573300133,0.35439808785946925
1988-07-01,0.3074031410893934,0.30168321244317076,0.35946749463577143
1988-10-01,0.31542815071982844,0.31173916310404204,0.36886668649051346
1989-01-01,0.3228145042218169,0.323167451402385,0.37444254524506926
1989-04-01,0.3301276746862949,0.33655028892638006,0.380884137114776
1989-07-01,0.3350997880153552,0.3424276831746327,0.3859012270578934
1989-10-01,0.3386712541270347,0.3502568676760194,0.39140963963493514
1990-01-01,0.3456637638215785,0.36464585160774243,0.39745378810270227
1990-04-01,0.3626946985457602,0.3736866472811662,0.40138002206258827
1990-07-01,0.3640381045575718,0.386314515637705,0.40746859934652724
1990-10-01,0.3758665041502396,0.39945856817550096,0.41280797325679464
1991-01-01,0.3848045046697304,0.4047008723733714,0.4211045274103671
1991-04-01,0.3897098663706715,0.4101433730568691,0.42290184219311433
1991-07-01,0.40249744556265243,0.41691317784137594,0.4239018038163782
1991-10-01,0.412551497697208,0.42415037953550305,0.42069325864043305
1992-01-01,0.41402206045237433,0.43039645612058974,0.41917524154782493
1992-04-01,0.41765417368801705,0.43701516019735687,0.4211045274103671
1992-07-01,0.4263488997229765,0.4433702952451637,0.4235045028941564
1992-10-01,0.4326017730678502,0.45032553734438663,0.42701067427020556
1993-01-01,0.4351057189463208,0.45627108015047346,0.430377294382565
1993-04-01,0.43948112116492455,0.4629679307595631,0.43377068244484684
1993-07-01,0.4467029641228968,0.4672900502473696,0.4356720405869612
1993-10-01,0.4556197804704678,0.4730443167716447,0.43878246300135393
1994-01-01,0.46020725168204146,0.47662399111214127,0.4442966968627773
1994-04-01,0.46855782253040124,0.4821888694978793,0.44755566189309137
1994-07-01,0.47427306768752553,0.4893306807787936,0.4518886461270859
1994-10-01,0.48245847324202407,0.4940188797691234,0.455905140269921
1995-01-01,0.49085286123655303,0.4988934114719803,0.4621526476780571
1995-04-01,0.4974890356547301,0.5047057434202027,0.46584564135018125
1995-07-01,0.5026575864865621,0.5087779269249544,0.46891275208484773
1995-10-01,0.5163638367991772,0.5131708260255246,0.46866772911271815
1996-01-01,0.518714088285209,0.5187114923594947,0.4672699506169118
1996-04-01,0.513342997049905,0.5253808476048021,0.4655261211193742
1996-07-01,0.5191393822563835,0.5296294703051934,0.46826330990832377
1996-10-01,0.5225509329456268,0.536427182681138,0.46785872708286247
1997-01-01,0.5259665257687725,0.5408288875857674,0.4680303882731418
1997-04-01,0.5325143166856736,0.5433354758097999,0.4687657455060381
1997-07-01,0.534826958861236,0.5459634862149287,0.47018590465561116
1997-10-01,0.541794551568771,0.5491080092666496,0.4689372510803902
1998-01-01,0.5375981802035752,0.5491787181229628,0.4652433834795793
1998-04-01,0.544024412626674,0.5509871646238333,0.46317574133105444
1998-07-01,0.5505317122556197,0.5540737390766952,0.4625718728574362
1998-10-01,0.5537467326618022,0.5567017876130476,0.46308949672898825
1999-01-01,0.5569666136350784,0.5586788071648692,0.46439469060009264
1999-04-01,0.565362283939447,0.5643497678463949,0.465206498762758
1999-07-01,0.5743886832711937,0.5698363880397452,0.4640008492884333
1999-10-01,0.5866077086444528,0.5758852947585358,0.4672331405751282
2000-01-01,0.5963057132222294,0.583975953778689,0.4735324317907428
2000-04-01,0.6001325918604077,0.5887311522312708,0.47760883025378176
2000-07-01,0.6072669515594415,0.5951535034166837,0.4819830837009804
2000-10-01,0.6117701999203642,0.6007830720950706,0.483988109012746
2001-01-01,0.6134913213687248,0.6081691043881752,0.4843741581664234
2001-04-01,0.6187225203202806,0.612837442043451,0.48743314843625685
2001-07-01,0.6251028751917347,0.6133415411759322,0.48979924590149926
2001-10-01,0.6315694495570594,0.6137525918138764,0.4902909793918613
2002-01-01,0.6380224424200978,0.6157656242253968,0.4893192727707798
2002-04-01,0.6474306089024799,0.6231604209541541,0.49030296987142075
2002-07-01,0.6559822672026852,0.6283214184986883,0.4894992896928563
2002-10-01,0.6743536300380657,0.632974863204558,0.4946341045298728
2003-01-01,0.6851365624601011,0.6405924670828305,0.4983995999228559
2003-04-01,0.692234635647385,0.6415986201803654,0.49753098138808527
2003-07-01,0.7012404388289437,0.6481652900970443,0.4979356373170556
2003-10-01,0.7086946692729428,0.653071707657046,0.5046834852958866
2004-01-01,0.7171666025056633,0.6607533584416703,0.5137196913598232
2004-04-01,0.7258107437487751,0.667459716775435,0.5243336099374596
2004-07-01,0.7349266933806358,0.672360120744059,0.5327926377992536
2004-10-01,0.7446141092897975,0.6808753663405738,0.5426838021715814
2005-01-01,0.7576883129425176,0.6866724123697776,0.5531876961863342
2005-04-01,0.7666670627692729,0.6929628230669738,0.5628466839250659
2005-07-01,0.7770515244939742,0.703707100573483,0.5740797045749351
2005-10-01,0.7842050644628169,0.7116361311984849,0.5853406032730342
2006-01-01,0.7925905299518923,0.716815688368929,0.594630578163335
2006-04-01,0.7995389819770344,0.7255550877084382,0.6008228151400883
2006-07-01,0.8069120032156518,0.732725101356698,0.6060909445074869
2006-10-01,0.8121067589003181,0.7310759467634509,0.6137189250877788
2007-01-01,0.820623621725487,0.7401712394550732,0.618793199943005
2007-04-01,0.828583285493679,0.748628662729717,0.619415139677066
2007-07-01,0.8354476157662165,0.7542658646092391,0.619077864436195
2007-10-01,0.8434272632430999,0.7643744856369099,0.618803744517558
2008-01-01,0.8518293876786136,0.7724834669369813,0.6208262455229954
2008-04-01,0.8620185980727393,0.7821752868074809,0.6221723105897401
2008-07-01,0.8694903355682055,0.7927832195861702,0.6285832604557888
2008-10-01,0.8647197638945516,0.7766936667911062,0.6380612163420021
2009-01-01,0.8562908139451317,0.7699125239559979,0.6309820184242061
2009-04-01,0.8564706559094906,0.7738850722302986,0.6177276247745263
2009-07-01,0.8595230311626607,0.7807516075337708,0.6071369808725744
2009-10-01,0.8671801731626902,0.7884399988916155,0.6047123488534756
2010-01-01,0.8735313713640189,0.7922954092903516,0.5994154309766704
2010-04-01,0.8811701215935206,0.7938467077055473,0.5985334639179727
