,gov,cpi
1963-07-01,-1.0313455487703345,-1.0500777799202958
1963-10-01,-1.007506080412171,-1.0481246542994138
1964-01-01,-0.997839987695051,-1.0419648034070206
1964-04-01,-0.9968354672690456,-1.0416416494213356
1964-07-01,-0.9831600404693703,-1.0393824908035478
1964-10-01,-0.9845050305847027,-1.0361639492417498
1965-01-01,-0.9810400481553345,-1.0310357328748303
1965-04-01,-0.9756192175343164,-1.0278439012470542
1965-07-01,-0.9647260157606321,-1.0214906397244445
1965-10-01,-0.9431533187709555,-1.0192764999617552
1966-01-01,-0.9415912959738142,-1.0120357946299263
1966-04-01,-0.9413198887255749,-0.9995668051501925
1966-07-01,-0.924234654405895,-0.9943142054018415
1966-10-01,-0.924368049990699,-0.9820629036213209
1967-01-01,-0.9279764735518903,-0.9805419907806145
1967-04-01,-0.9171900316658865,-0.9744813661689231
1967-07-01,-0.9081580949995476,-0.965458748569286
1967-10-01,-0.8903353258441515,-0.9565168111936244
1968-01-01,-0.882116981032687,-0.9447172642624695
1968-04-01,-0.87073624338954,-0.9359580841725879
1968-07-01,-0.8542463246148779,-0.921527819343559
1968-10-01,-0.8399837422146113,-0.9101316846126895
1969-01-01,-0.8379015563928274,-0.8988639597663473
1969-04-01,-0.8239892394148391,-0.8821969072811355
1969-07-01,-0.7983773570276065,-0.8685168033770552
1969-10-01,-0.7859294272510025,-0.855021321902171
1970-01-01,-0.7570779698616548,-0.8390635364635597
1970-04-01,-0.7439604545670795,-0.8233564072582018
1970-07-01,-0.7270076202768605,-0.8130203979275401
1970-10-01,-0.7143843502023479,-0.8002488322480525
1971-01-01,-0.6831916999385608,-0.7876383246561227
1971-04-01,-0.6647063093508354,-0.7826383142394171
1971-07-01,-0.6503021375372167,-0.7702465819442534
1971-10-01,-0.6300710316169065,-0.7628845855031847
1972-01-01,-0.5896029412797943,-0.7555763921964598
1972-04-01,-0.5794886548152327,-0.7483212213152881
1972-07-01,-0.5713015296131583,-0.7411183090212301
1972-10-01,-0.5497913362847311,-0.7315944275099744
1973-01-01,-0.5338215708353125,-0.7198157283173616
1973-04-01,-0.5165932668751352,-0.696666546450396
1973-07-01,-0.49612972401294675,-0.6852898594682881
1973-10-01,-0.47496946434138465,-0.6541069320316
1974-01-01,-0.4647655101915995,-0.6281314456283393
1974-04-01,-0.44685533140239464,-0.6007324714402249
1974-07-01,-0.4180616942552162,-0.5760905675032961
1974-10-01,-0.3853937835855912,-0.5421890158276148
1975-01-01,-0.36738570059414766,-0.5170182774810632
1975-04-01,-0.35300569828275474,-0.5037227349998186
1975-07-01,-0.3396098010487969,-0.485030601987666
1975-10-01,-0.3168990906436755,-0.46850130003645596
1976-01-01,-0.3023982413786106,-0.45224077916467564
1976-04-01,-0.2940532694464295,-0.4468788360232896
1976-07-01,-0.2826475771998642,-0.43096338071739027
1976-10-01,-0.256278743491519,-0.4152972639729908
1977-01-01,-0.24222030963833419,-0.40157492171788967
1977-04-01,-0.23092075438440096,-0.3796700863298401
1977-07-01,-0.2259984043384784,-0.3664248595798192
1977-10-01,-0.19744606004480802,-0.3533527780124661
1978-01-01,-0.18606463138233398,-0.3356532009130655
1978-04-01,-0.1666177325846645,-0.31669528716845186
1978-07-01,-0.15002949080715533,-0.29196450591073386
1978-10-01,-0.13292567604211403,-0.2678306045743044
1979-01-01,-0.11465403611047975,-0.24718090328376086
1979-04-01,-0.0996591314182056,-0.2169845040527445
1979-07-01,-0.07659385848720968,-0.18355520740354958
1979-10-01,-0.05483113655508598,-0.1538634175961464
